File Name,Depth,File Type,GitHub URL,Lines,Parent Directories
http://ClaudeTaskAdapter.java,5,Java,https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/services/ClaudeTaskAdapter.java,456,"ai, services"
http://ClaudeResponseHandler.java,5,Java,https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/services/ClaudeResponseHandler.java,618,"ai, services"
http://ClaudeCodeBridge.java,5,Java,https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/services/ClaudeCodeBridge.java,396,"ai, services"
http://ToolCall.java,5,Java,https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/services/ToolCall.java,37,"ai, services"
http://ClaudeResponse.java,5,Java,https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/services/ClaudeResponse.java,100,"ai, services"
plugin.xml,2,XML,https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/resources/META-INF/plugin.xml,207,"META-INF, resources"
http://ClaudeRequest.java,5,Java,https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/services/ClaudeRequest.java,121,"ai, services"
http://ConversationMessage.java,5,Java,https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/services/ConversationMessage.java,45,"ai, services"
http://ClaudeCodeIntegrationService.java,5,Java,https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ai/services/ClaudeCodeIntegrationService.java,395,"ai, services"
http://AgentStatusBar.java,4,Java,https://github.com/Mohsen-Dirbaz-Organization/AutoAgenets-2/blob/DefaultBranch/src/main/java/com/IDE/plugin/ui/AgentStatusBar.java,288,ui
